顧客ID,顧客名,注文日,注文金額,商品カテゴリ
EC0001,長谷川 花子,2024-03-26,6802,ファッション
EC0002,伊藤 拓也,2023-11-26,2730,スポーツ
EC0002,伊藤 拓也,2024-07-02,4015,スポーツ
EC0003,後藤 剛,2024-02-29,19997,インテリア
EC0003,後藤 剛,2024-03-30,18658,書籍
EC0003,後藤 剛,2024-05-01,11565,インテリア
EC0003,後藤 剛,2024-05-14,12808,ファッション
EC0003,後藤 剛,2024-06-13,9717,ファッション
EC0003,後藤 剛,2024-07-13,16338,食品
EC0003,後藤 剛,2024-07-26,21422,家電
EC0003,後藤 剛,2024-08-13,20946,インテリア
EC0003,後藤 剛,2024-08-21,4690,スポーツ
EC0004,鈴木 由美,2023-08-24,7341,日用品
EC0004,鈴木 由美,2023-10-09,9215,美容・コスメ
EC0004,鈴木 由美,2023-11-11,7069,書籍
EC0004,鈴木 由美,2023-11-12,6910,日用品
EC0004,鈴木 由美,2023-11-24,7987,スポーツ
EC0004,鈴木 由美,2023-12-26,8878,家電
EC0004,鈴木 由美,2024-03-10,7892,スポーツ
EC0005,林 一郎,2023-09-05,9875,インテリア
EC0005,林 一郎,2024-02-12,9018,書籍
EC0005,林 一郎,2024-03-13,5692,美容・コスメ
EC0005,林 一郎,2024-06-06,7728,書籍
EC0006,井上 太郎,2023-12-19,22776,日用品
EC0006,井上 太郎,2023-12-24,16896,日用品
EC0006,井上 太郎,2024-01-16,27958,インテリア
EC0006,井上 太郎,2024-02-16,16090,インテリア
EC0006,井上 太郎,2024-02-19,14691,ファッション
EC0006,井上 太郎,2024-04-07,16083,インテリア
EC0006,井上 太郎,2024-04-18,22182,家電
EC0006,井上 太郎,2024-05-02,27197,書籍
EC0006,井上 太郎,2024-05-04,25618,スポーツ
EC0006,井上 太郎,2024-05-15,30302,日用品
EC0006,井上 太郎,2024-05-22,24536,スポーツ
EC0006,井上 太郎,2024-05-29,12424,ファッション
EC0006,井上 太郎,2024-07-08,33950,美容・コスメ
EC0006,井上 太郎,2024-08-03,21189,ファッション
EC0006,井上 太郎,2024-08-07,33659,食品
EC0006,井上 太郎,2024-08-20,23111,家電
EC0006,井上 太郎,2024-08-27,25967,日用品
EC0006,井上 太郎,2024-09-07,31310,食品
EC0006,井上 太郎,2024-09-22,24498,美容・コスメ
EC0006,井上 太郎,2024-10-03,28394,インテリア
EC0006,井上 太郎,2024-10-18,33650,家電
EC0006,井上 太郎,2024-11-23,14317,スポーツ
EC0006,井上 太郎,2024-11-27,31589,ファッション
EC0006,井上 太郎,2024-12-03,28595,美容・コスメ
EC0006,井上 太郎,2024-12-07,20005,日用品
EC0006,井上 太郎,2024-12-14,31764,家電
EC0007,佐藤 真由,2023-12-26,5614,書籍
EC0008,阿部 剛,2024-01-18,5869,ファッション
EC0008,阿部 剛,2024-03-31,5144,ファッション
EC0008,阿部 剛,2024-04-30,6341,家電
EC0008,阿部 剛,2024-06-21,3834,書籍
EC0008,阿部 剛,2024-07-21,5717,スポーツ
EC0009,山本 裕子,2023-01-11,4667,家電
EC0010,斎藤 健太,2023-08-29,6572,食品
EC0010,斎藤 健太,2023-09-03,7251,日用品
EC0010,斎藤 健太,2023-11-03,5114,日用品
EC0010,斎藤 健太,2024-04-03,8027,日用品
EC0010,斎藤 健太,2024-05-10,7464,食品
EC0010,斎藤 健太,2024-05-29,3615,日用品
EC0010,斎藤 健太,2024-05-31,9305,美容・コスメ
EC0010,斎藤 健太,2024-06-14,10088,日用品
EC0011,高橋 優,2023-02-13,4770,スポーツ
EC0011,高橋 優,2023-06-15,2747,スポーツ
EC0012,高橋 裕子,2023-11-11,7903,食品
EC0012,高橋 裕子,2023-11-30,5195,ファッション
EC0012,高橋 裕子,2023-12-03,4680,美容・コスメ
EC0012,高橋 裕子,2023-12-09,4315,ファッション
EC0012,高橋 裕子,2023-12-18,9459,スポーツ
EC0012,高橋 裕子,2024-01-09,7434,家電
EC0012,高橋 裕子,2024-01-25,4417,食品
EC0012,高橋 裕子,2024-02-13,4777,インテリア
EC0012,高橋 裕子,2024-03-04,2640,食品
EC0012,高橋 裕子,2024-04-18,2662,スポーツ
EC0012,高橋 裕子,2024-05-28,4237,インテリア
EC0012,高橋 裕子,2024-06-14,4654,インテリア
EC0012,高橋 裕子,2024-06-19,5861,食品
EC0012,高橋 裕子,2024-06-20,8119,ファッション
EC0012,高橋 裕子,2024-07-05,7853,家電
EC0012,高橋 裕子,2024-08-17,6030,食品
EC0012,高橋 裕子,2024-09-26,6685,家電
EC0012,高橋 裕子,2024-10-09,6251,日用品
EC0012,高橋 裕子,2024-11-02,7847,スポーツ
EC0013,山口 翔,2023-07-23,1225,ファッション
EC0013,山口 翔,2023-09-30,720,食品
EC0014,小林 優,2024-05-31,2814,インテリア
EC0014,小林 優,2024-09-18,3490,スポーツ
EC0015,橋本 拓也,2023-12-14,17547,インテリア
EC0015,橋本 拓也,2024-01-04,17337,家電
EC0015,橋本 拓也,2024-03-04,18717,インテリア
EC0015,橋本 拓也,2024-03-09,19035,ファッション
EC0015,橋本 拓也,2024-03-11,27402,美容・コスメ
EC0015,橋本 拓也,2024-03-20,14049,食品
EC0015,橋本 拓也,2024-03-25,8596,インテリア
EC0015,橋本 拓也,2024-04-11,14151,ファッション
EC0015,橋本 拓也,2024-04-25,17004,ファッション
EC0015,橋本 拓也,2024-05-04,14136,日用品
EC0015,橋本 拓也,2024-05-07,21831,ファッション
EC0015,橋本 拓也,2024-06-04,18988,インテリア
EC0015,橋本 拓也,2024-06-18,18339,家電
EC0015,橋本 拓也,2024-06-28,21991,食品
EC0015,橋本 拓也,2024-07-12,25712,スポーツ
EC0015,橋本 拓也,2024-07-23,14671,インテリア
EC0015,橋本 拓也,2024-07-28,20345,家電
EC0015,橋本 拓也,2024-08-31,22130,食品
EC0015,橋本 拓也,2024-09-02,25780,食品
EC0015,橋本 拓也,2024-09-03,23418,美容・コスメ
EC0015,橋本 拓也,2024-09-18,18256,美容・コスメ
EC0015,橋本 拓也,2024-09-19,15244,インテリア
EC0015,橋本 拓也,2024-10-11,25600,日用品
EC0015,橋本 拓也,2024-10-19,12535,スポーツ
EC0015,橋本 拓也,2024-10-30,14857,ファッション
EC0015,橋本 拓也,2024-11-01,13498,美容・コスメ
EC0015,橋本 拓也,2024-11-01,30619,食品
EC0015,橋本 拓也,2024-11-22,13789,美容・コスメ
EC0015,橋本 拓也,2024-12-05,24324,美容・コスメ
EC0015,橋本 拓也,2024-12-05,20770,家電
EC0016,木村 健太,2023-05-21,4295,美容・コスメ
EC0017,伊藤 真由,2023-07-07,1726,美容・コスメ
EC0017,伊藤 真由,2023-09-23,2126,スポーツ
EC0018,伊藤 愛,2023-12-14,5092,食品
